epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.73,0.33308,0.47179,1.00963,0.93602,0.86957,0.92266,0.81534,0.59116,0.98178,0.93649,0.000659722,0.000659722,0.000659722
2,93.7795,0.39138,0.4756,1.04487,1,0.94359,0.9918,0.86698,0.87427,0.95131,1.61008,0.00130013,0.00130013,0.00130013
3,137.399,0.38922,0.41736,1.04049,0.01628,0.08696,0.0159,0.00376,3.36266,3.21831,2.42697,0.00191413,0.00191413,0.00191413
4,185.447,0.37065,0.36321,1.02882,0.88431,0.91304,0.98078,0.53871,1.20242,2.11241,1.57398,0.0018812,0.0018812,0.0018812
5,227.018,0.36356,0.33734,1.03014,0.89085,0.95652,0.94872,0.92436,0.45801,0.78721,0.8427,0.0018416,0.0018416,0.0018416
6,269.145,0.33994,0.30193,1.01589,0.87412,0.90603,0.9219,0.8544,0.60577,1.02928,0.97325,0.001802,0.001802,0.001802
7,312.003,0.33396,0.28524,1.01419,0.99005,1,0.995,0.95242,0.39138,0.90157,0.78308,0.0017624,0.0017624,0.0017624
8,355.945,0.32469,0.27654,1.01097,0.87787,0.93801,0.97323,0.85481,0.60231,0.70141,0.92775,0.0017228,0.0017228,0.0017228
9,403.191,0.31777,0.25457,0.99545,0.88448,0.99868,0.97619,0.87591,0.46641,1.15603,0.81338,0.0016832,0.0016832,0.0016832
10,446.713,0.3087,0.25068,1.00337,0.99601,0.91304,0.94846,0.89155,0.62028,0.83884,1.10333,0.0016436,0.0016436,0.0016436
11,490.68,0.3094,0.2494,0.99755,0.95002,1,0.97,0.93489,0.46564,0.79998,0.91102,0.001604,0.001604,0.001604
12,536.121,0.31473,0.25497,1.0015,0.93069,0.91304,0.97727,0.94216,0.48203,0.82927,0.79343,0.0015644,0.0015644,0.0015644
13,579.736,0.30515,0.23546,0.98848,0.99767,1,0.995,0.9679,0.34963,0.47356,0.7292,0.0015248,0.0015248,0.0015248
14,622.665,0.29556,0.23127,0.99007,0.95811,0.99476,0.99167,0.90076,0.46987,0.7,0.80738,0.0014852,0.0014852,0.0014852
15,666.402,0.29517,0.22699,0.98709,0.99647,1,0.995,0.99065,0.2412,0.6947,0.58382,0.0014456,0.0014456,0.0014456
16,709.622,0.28702,0.2213,0.98369,0.99503,1,0.995,0.8769,0.51082,0.97477,0.90589,0.001406,0.001406,0.001406
17,752.478,0.28067,0.21799,0.97656,0.94897,1,0.99333,0.81353,0.44925,0.63047,0.74411,0.0013664,0.0013664,0.0013664
18,795.711,0.28545,0.21805,0.98578,0.95584,1,0.98792,0.92923,0.4711,1.00306,0.80707,0.0013268,0.0013268,0.0013268
19,839.72,0.27107,0.20834,0.97712,0.99581,1,0.995,0.94061,0.36909,0.76114,0.70127,0.0012872,0.0012872,0.0012872
20,882.424,0.26773,0.20813,0.97711,0.99319,1,0.995,0.995,0.36531,0.70718,0.73554,0.0012476,0.0012476,0.0012476
21,931.438,0.26996,0.21146,0.9826,0.996,1,0.995,0.94549,0.44598,1.0082,0.83299,0.001208,0.001208,0.001208
22,973.728,0.26828,0.20532,0.9729,0.99611,1,0.995,0.91941,0.51362,0.88337,0.91941,0.0011684,0.0011684,0.0011684
23,1015.24,0.25556,0.19581,0.97343,0.99666,1,0.995,0.995,0.30593,0.81609,0.64713,0.0011288,0.0011288,0.0011288
24,1057.22,0.25882,0.19352,0.97357,0.99724,1,0.995,0.97464,0.34152,0.44024,0.67792,0.0010892,0.0010892,0.0010892
25,1099.28,0.25037,0.19114,0.96994,0.99705,1,0.995,0.995,0.3753,0.66453,0.71339,0.0010496,0.0010496,0.0010496
26,1148.27,0.25048,0.1864,0.97398,0.95753,0.95652,0.95838,0.94727,0.36443,0.76572,0.66147,0.00101,0.00101,0.00101
27,1190.84,0.2554,0.1895,0.97469,0.99677,1,0.995,0.9299,0.39478,0.92307,0.74237,0.0009704,0.0009704,0.0009704
28,1233.57,0.25732,0.18887,0.97295,0.95651,1,0.995,0.99108,0.31926,0.8942,0.6938,0.0009308,0.0009308,0.0009308
29,1276.14,0.25495,0.18409,0.9702,0.99685,1,0.995,0.96345,0.36663,1.07132,0.70834,0.0008912,0.0008912,0.0008912
30,1321.15,0.25048,0.17971,0.97059,0.9969,1,0.995,0.99108,0.32065,0.82725,0.65448,0.0008516,0.0008516,0.0008516
31,1363.81,0.24641,0.17888,0.97003,0.99692,1,0.995,0.99109,0.29783,0.72229,0.63105,0.000812,0.000812,0.000812
32,1408.14,0.24344,0.17261,0.9606,0.99702,1,0.995,0.97922,0.31472,0.68623,0.65327,0.0007724,0.0007724,0.0007724
33,1450.71,0.24216,0.17678,0.96527,0.99537,1,0.995,0.99106,0.29004,1.26296,0.63009,0.0007328,0.0007328,0.0007328
34,1494.21,0.24105,0.17123,0.963,0.99684,1,0.995,0.995,0.30098,0.4236,0.62166,0.0006932,0.0006932,0.0006932
35,1537.17,0.23748,0.17225,0.96206,0.93578,0.95652,0.9504,0.92795,0.4184,1.02926,0.76336,0.0006536,0.0006536,0.0006536
36,1580.17,0.23719,0.17082,0.96396,0.95531,1,0.99333,0.93007,0.4202,0.78764,0.79917,0.000614,0.000614,0.000614
37,1623.56,0.23819,0.16971,0.9615,0.98992,1,0.995,0.98235,0.32579,0.7616,0.64509,0.0005744,0.0005744,0.0005744
38,1671.75,0.23318,0.16586,0.96087,0.99597,1,0.995,0.96319,0.3448,0.64699,0.6626,0.0005348,0.0005348,0.0005348
39,1713.19,0.23596,0.1646,0.96375,0.99144,1,0.995,0.995,0.28501,0.64436,0.60022,0.0004952,0.0004952,0.0004952
40,1754.53,0.23064,0.16048,0.96065,0.99721,1,0.995,0.97361,0.35301,0.39034,0.70848,0.0004556,0.0004556,0.0004556
41,1796.03,0.13044,0.29551,0.98033,0.99223,1,0.995,0.9866,0.33295,0.34942,0.68864,0.000416,0.000416,0.000416
42,1838.13,0.11436,0.09807,0.95802,0.99767,1,0.995,0.995,0.32069,0.36722,0.66319,0.0003764,0.0003764,0.0003764
43,1885.32,0.10459,0.08657,0.9555,0.99784,1,0.995,0.98277,0.29747,0.32124,0.62658,0.0003368,0.0003368,0.0003368
44,1924.04,0.10176,0.0793,0.95143,0.9979,1,0.995,0.995,0.26359,0.27967,0.58489,0.0002972,0.0002972,0.0002972
45,1964.26,0.10165,0.07747,0.94925,0.99785,1,0.995,0.995,0.24914,0.3442,0.56629,0.0002576,0.0002576,0.0002576
46,2011.83,0.09812,0.07285,0.95217,1,1,0.995,0.995,0.32075,0.36803,0.66784,0.000218,0.000218,0.000218
47,2058.2,0.09531,0.06895,0.95149,0.99787,1,0.995,0.995,0.24571,0.29779,0.55933,0.0001784,0.0001784,0.0001784
48,2103.9,0.09704,0.07155,0.94589,0.99788,1,0.995,0.995,0.29732,0.35278,0.63178,0.0001388,0.0001388,0.0001388
49,2155.57,0.09165,0.06689,0.94483,1,1,0.995,0.995,0.30627,0.3408,0.64127,9.92e-05,9.92e-05,9.92e-05
50,2196.1,0.0908,0.0654,0.95046,1,1,0.995,0.995,0.29933,0.34978,0.62713,5.96e-05,5.96e-05,5.96e-05
